motif_family	TF	std_over_alpha_traj	std_over_beta_traj	std_over_ec_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	cc_over_ec_traj	time_max_cc_over_ec_traj	z_score
CREB3L1_CREB3	CREB3L1	0.00833582802402147	0.00547596005855261	0.0145224918559044	0.833454689526137	-102	0.551928470931342	-129	0.480072384695421	-159	1.9652002923392
CREB3L1_CREB3	CREB3	0.00833582802402147	0.00547596005855261	0.0145224918559044	NaN	NaN	NaN	NaN	NaN	NaN	1.9652002923392
CREB5_CREM_JUNB	CREB5	0.0358217906695333	0.0280038515670201	0.0308010875618769	0.880355305616233	0	0.920347719342811	0	0.174518559900536	-1342	3.65078740216479
CREB5_CREM_JUNB	CREM	0.0358217906695333	0.0280038515670201	0.0308010875618769	NaN	NaN	NaN	NaN	NaN	NaN	3.65078740216479
CREB5_CREM_JUNB	JUNB	0.0358217906695333	0.0280038515670201	0.0308010875618769	0.879180212226829	-32	0.0955994975938826	-1252	0.234792914516988	-110	3.65078740216479
CUX1	CUX1	0.0060004230425964	0.0093217101505605	0.00751546980688057	0.445778988499222	80	0.0876329837333225	-1608	0.224432982937093	-1406	1.95994637883061
CUX2	CUX2	0.00843965136411354	0.00225313904788086	0.0050067019733898	0.89012279260108	25	0.818927817407217	166	0.183224061250354	326	1.66530284852791
CXXC1	CXXC1	0.0170272406992474	0.00423390777274975	0.00218919819717088	0.603268969476872	-1	0.224649513565838	-958	0.187353177223593	-1594	2.17435061953119
DBX2_HLX	DBX2	0.0118813795131753	0.0189684380502331	0.0203243391725555	NaN	NaN	NaN	NaN	NaN	NaN	2.043763910681
DBX2_HLX	HLX	0.0118813795131753	0.0189684380502331	0.0203243391725555	0.127875206297578	290	0.0474234392167348	-1632	0.0793144391785446	-1641	2.043763910681
DDIT3	DDIT3	0.0372697683698007	0.0220527673904447	0.0183266679432228	0.213059622117763	-1617	0.435473810916059	-10	0.764460339831529	-5	2.04438965170521
DLX1_HOXA3_BARX2	DLX1	0.0137133805005139	0.00986291729282618	0.0109512183876396	NaN	NaN	NaN	NaN	NaN	NaN	1.39571602706356
DLX1_HOXA3_BARX2	HOXA3	0.0137133805005139	0.00986291729282618	0.0109512183876396	0.187064687312365	1521	0.505845531203178	-1	0.56546679419998	-1	1.39571602706356
DLX1_HOXA3_BARX2	BARX2	0.0137133805005139	0.00986291729282618	0.0109512183876396	NaN	NaN	NaN	NaN	NaN	NaN	1.39571602706356
DLX4_HOXD8	DLX4	0.00814577138176364	0.0183947732258644	0.0130867738223257	0.0239678108559248	-1685	0.0286303680853194	-1494	0.0275312428575053	1626	1.8788536909018
DLX4_HOXD8	HOXD8	0.00814577138176364	0.0183947732258644	0.0130867738223257	NaN	NaN	NaN	NaN	NaN	NaN	1.8788536909018
DLX5	DLX5	0.0785879426252111	0.0401065846693774	0.0257507271621077	0.731584060752463	-79	0.812001605378547	-133	0.460675218274627	-217	2.6795964673527
E2F2_E2F5	E2F2	0.00665697344109144	0.00891604855770717	0.0109274643237522	0.783879354809194	4	0.786667388490473	-16	0.885218779528857	-4	3.46078281916063
E2F2_E2F5	E2F5	0.00665697344109144	0.00891604855770717	0.0109274643237522	0.583150619505305	-124	0.83275637189383	-81	0.661657195135012	-82	3.46078281916063
E2F3	E2F3	0.0044899605712974	0.00482237884226726	0.00423047118397103	0.91157420072695	0	0.771382172390946	1	0.148062337005081	1625	1.35311524187005
E2F6	E2F6	0.00156331483080138	0.00165288452330229	0.00263126425560523	0.337379065884887	265	0.482762664973968	239	0.112446171744159	-1653	1.71281278604255
E2F7_E2F1	E2F7	0.0125845670845382	0.0144094258044453	0.010937226655101	0.839873023030776	-44	0.853386503637828	-134	0.921403363126122	-138	3.24620125664169
E2F7_E2F1	E2F1	0.0125845670845382	0.0144094258044453	0.010937226655101	0.931809629331873	-6	0.171097159041108	-1614	0.953797041775387	-6	3.24620125664169
EBF1	EBF1	0.0075474419966597	0.00253894303449047	0.00414702097955318	0.825100545626841	-142	0.238619768100215	1485	0.637698127782312	-179	1.92183491270805
EBF3	EBF3	0.00589116653489725	0.00458958040727515	0.0027587804680071	0.22605499894256	-178	0.551578408907757	0	0.536279750260469	-191	1.57860643671941
EGR1_EGR4	EGR1	0.00227645906227066	0.0121833102670354	0.00835300237167344	0.180380344710803	1321	0.123770633606082	1530	0.105481780092519	1868	1.87592798430497
EGR1_EGR4	EGR4	0.00227645906227066	0.0121833102670354	0.00835300237167344	0.197842190530914	-1381	0.133246188011109	-1479	0.173850925041966	-1402	1.87592798430497
EGR3_EGR2	EGR3	0.00610008680822593	0.0146535830825699	0.0113701574030853	0.10733930680022	1499	0.532385091675212	0	0.585797049851241	1	1.94136015976529
EGR3_EGR2	EGR2	0.00610008680822593	0.0146535830825699	0.0113701574030853	0.129495865871424	1734	0.628489631525463	3	0.656848435074451	1	1.94136015976529
ELF2_GABPA_ELF5	ELF2	0.00347337502714461	0.00190396100377655	0.000530312756134201	NaN	NaN	NaN	NaN	NaN	NaN	2.29326156904733
ELF2_GABPA_ELF5	GABPA	0.00347337502714461	0.00190396100377655	0.000530312756134201	0.671375438839759	-119	0.761727608581551	-2	0.528541788137875	-110	2.29326156904733
ELF2_GABPA_ELF5	ELF5	0.00347337502714461	0.00190396100377655	0.000530312756134201	NaN	NaN	NaN	NaN	NaN	NaN	2.29326156904733
ELF3_EHF	ELF3	0.00522530526961261	0.00319550451315158	0.00427751713645468	0.839491246224527	27	0.853611195893481	19	0.604994558980662	-1	1.60548581794925
ELF3_EHF	EHF	0.00522530526961261	0.00319550451315158	0.00427751713645468	0.0970894043121309	1479	0.0852665336497353	1515	0.0805699514186007	-1600	1.60548581794925
ELK4_ETV5_ELK1_ELK3_ELF4	ELK4	0.00554858034404339	0.00264277962904831	0.00235054816277181	0.158544974384571	-1222	0.409996696581717	-140	0.171858518863294	-1619	2.9467905919133
ELK4_ETV5_ELK1_ELK3_ELF4	ETV5	0.00554858034404339	0.00264277962904831	0.00235054816277181	0.22158349386863	-1575	0.662717314929876	4	0.417637103255649	89	2.9467905919133
ELK4_ETV5_ELK1_ELK3_ELF4	ELK1	0.00554858034404339	0.00264277962904831	0.00235054816277181	0.095497884348383	-641	0.549028839273488	-5	0.164147088538764	-1336	2.9467905919133
ELK4_ETV5_ELK1_ELK3_ELF4	ELK3	0.00554858034404339	0.00264277962904831	0.00235054816277181	0.266855857184464	141	0.571497167460979	3	0.105181966948317	212	2.9467905919133
ELK4_ETV5_ELK1_ELK3_ELF4	ELF4	0.00554858034404339	0.00264277962904831	0.00235054816277181	0.262244395377028	-1498	0.239086206678199	-1624	0.152647618936203	-1625	2.9467905919133
EMX1	EMX1	0.0104515566766482	0.0392549353760292	0.0177906583205875	0.827621634676529	126	0.213544176439721	-1505	0.219699417228003	-1575	2.17380298380169
EMX2	EMX2	0.0517528898124511	0.0457937476963626	0.0373218301263728	0.589361428842682	-297	0.275960151381995	-163	0.303624348339836	-110	2.65077092191416
EN2_GBX2_LBX2	EN2	0.0834989352706724	0.0172714521249864	0.00614884205359775	NaN	NaN	NaN	NaN	NaN	NaN	1.555944309467
EN2_GBX2_LBX2	GBX2	0.0834989352706724	0.0172714521249864	0.00614884205359775	0.0435724766498046	1432	0.256848065359586	-163	0.0709769817973935	1347	1.555944309467
EN2_GBX2_LBX2	LBX2	0.0834989352706724	0.0172714521249864	0.00614884205359775	0.154386633030101	1546	0.70557358957995	-2	0.126539373403299	1493	1.555944309467
EPAS1_BCL3	EPAS1	0.00337836321557514	0.00620887849264046	0.00374967982443202	0.808090187234823	147	0.93946295477526	66	0.269724983320676	195	1.41510314288323
EPAS1_BCL3	BCL3	0.00337836321557514	0.00620887849264046	0.00374967982443202	0.14109126144969	94	0.734271657789872	57	0.815977772916502	80	1.41510314288323
ESR1	ESR1	0.006062696862415	0.00308878609645447	0.00368940138278647	0.20583218372997	1	0.166776755787516	117	0.185022844572189	-1289	1.37002805708895
ESRRA_ESR2	ESRRA	0.00383209659575759	0.00234641308596771	0.0020420620418928	NaN	NaN	NaN	NaN	NaN	NaN	1.22558129915118
ESRRA_ESR2	ESR2	0.00383209659575759	0.00234641308596771	0.0020420620418928	0.541747288564551	0	0.0153795373188798	1333	0.0295544922280344	1429	1.22558129915118
ESRRB_ESRRG	ESRRB	0.00783070399125427	0.0132765142880827	0.00694947010369018	0.0559078499523908	1581	0.0947923873467856	-1531	0.302994417166748	21	1.91840364008245
ESRRB_ESRRG	ESRRG	0.00783070399125427	0.0132765142880827	0.00694947010369018	0.872248566887037	10	0.903530426254422	1	0.19751022838855	-1539	1.91840364008245
ETS1	ETS1	0.0147539839138557	0.00847899369996536	0.00750198800179012	0.150525447965985	-1654	0.183041550533333	-1511	0.206813862008408	-1552	1.84037732604177
ETV1_ERF_FEV_ELF1	ETV1	0.00450374033678785	0.000669055155031663	0.000450193903166815	0.925728062848672	0	0.171459191044512	-1661	0.427185641970713	5	2.05580711991435
ETV1_ERF_FEV_ELF1	ERF	0.00450374033678785	0.000669055155031663	0.000450193903166815	NaN	NaN	NaN	NaN	NaN	NaN	2.05580711991435
ETV1_ERF_FEV_ELF1	FEV	0.00450374033678785	0.000669055155031663	0.000450193903166815	0.921702967690728	21	0.272679590988839	47	0.0924383076105041	1647	2.05580711991435
ETV1_ERF_FEV_ELF1	ELF1	0.00450374033678785	0.000669055155031663	0.000450193903166815	0.177359409185279	-1447	0.708412980664959	-105	0.425052365511954	-1	2.05580711991435
ETV3	ETV3	0.0172189352492436	0.00543896270793911	0.00615998849958669	0.589931134473656	-1	0.165255574662123	-1732	0.239349766566491	-1558	1.48635362024891
ETV4_ETS2	ETV4	0.00440242553425378	0.00979110565935999	0.00482926170100436	0.328251002262095	-241	0.153379683335843	1585	0.134525334351053	1609	1.43499756432299
ETV4_ETS2	ETS2	0.00440242553425378	0.00979110565935999	0.00482926170100436	0.184625402687387	-1563	0.872957136154467	-2	0.191043345626843	-1431	1.43499756432299
ETV6	ETV6	0.00416162063435841	0.00787321230743837	0.00289710455306519	0.17464778468522	-1209	0.703487517631971	0	0.714232264378031	134	2.08365096952447
EZH2	EZH2	0.016189230399755	0.0105174254806181	0.0115255518105622	0.977143958812946	-1	0.950190915959823	-1	0.967016286660987	-1	1.94878860944795
FOSB	FOSB	0.00413995948467131	0.00713065805773499	0.00327562413127054	0.227212252532988	188	0.241212291617841	163	0.255815194119665	171	2.04017429863823
FOSL1	FOSL1	0.02972561690336	0.0100119427880638	0.00305487314871978	0.207783845076055	-6	0.142605999152445	-1357	0.414958663663338	56	1.74117561950419
FOSL2_SMARCC1	FOSL2	0.00608522224825974	0.0290406864454784	0.0125875847623889	0.842260143435361	-167	0.900553829991961	-98	0.904049632539009	-99	1.79117044819574
FOSL2_SMARCC1	SMARCC1	0.00608522224825974	0.0290406864454784	0.0125875847623889	NaN	NaN	NaN	NaN	NaN	NaN	1.79117044819574
FOXA1	FOXA1	0.0131733163095801	0.0196465198651202	0.00430795122976548	0.195349200375377	-1505	0.900981585295669	-1	0.356641349942708	49	2.32585445435972
FOXA2_FOXJ3	FOXA2	0.0157751379235367	0.0114257562053658	0.00597378840376306	0.236358874272793	-1451	0.211697106900688	273	0.402759057079273	240	2.11786674206097
FOXA2_FOXJ3	FOXJ3	0.0157751379235367	0.0114257562053658	0.00597378840376306	0.173439561805938	-965	0.107268572183766	-1320	0.265160451346235	-1491	2.11786674206097
FOXC1	FOXC1	0.016587038988186	0.00985991582726657	0.00389577324907329	0.619738356365158	-3	0.438599988808246	-207	0.486770378262901	-256	1.5140005510177
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXD1	0.00451899968524465	0.000952074395762982	0.0011882911174916	0.819864518670065	0	0.508192883002968	-201	0.786216912854675	13	2.31759068045025
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXO1	0.00451899968524465	0.000952074395762982	0.0011882911174916	0.841605899854671	7	0.174059551225643	-1721	0.816598923030254	10	2.31759068045025
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXO6	0.00451899968524465	0.000952074395762982	0.0011882911174916	0.172634296340953	1438	0.711532969114472	-176	0.681104184782274	11	2.31759068045025
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXG1	0.00451899968524465	0.000952074395762982	0.0011882911174916	0.419015667513499	0	0.25156517659626	-121	0.0309022491170155	1336	2.31759068045025
FOXD1_FOXO1_FOXO6_FOXG1_FOXP1	FOXP1	0.00451899968524465	0.000952074395762982	0.0011882911174916	0.787737778325411	12	0.309659973530172	-279	0.774868631997723	241	2.31759068045025
FOXF2_FOXJ1	FOXF2	0.0314478349410056	0.00791543946362714	0.0148670828489342	NaN	NaN	NaN	NaN	NaN	NaN	2.09151403619286
FOXF2_FOXJ1	FOXJ1	0.0314478349410056	0.00791543946362714	0.0148670828489342	0.609413215656952	-195	0.314569349327483	276	0.804708349529909	-199	2.09151403619286
FOXJ2	FOXJ2	0.0299034436270869	0.025105721659383	0.00973309146377972	0.156789668041145	1474	0.831346516837481	-71	0.18976742316703	-1562	1.75733434932361
FOXK1_FOXP2_FOXB1_FOXP3	FOXK1	0.00387668418071625	0.00743040320767125	0.00512258131480293	NaN	NaN	NaN	NaN	NaN	NaN	1.98593606733367
FOXK1_FOXP2_FOXB1_FOXP3	FOXP2	0.00387668418071625	0.00743040320767125	0.00512258131480293	0.638668726508705	10	0.691661353048828	-141	0.815970789811842	-128	1.98593606733367
FOXK1_FOXP2_FOXB1_FOXP3	FOXB1	0.00387668418071625	0.00743040320767125	0.00512258131480293	0.155021185842978	-1438	0.519021592192709	-239	0.385930418426753	-189	1.98593606733367
FOXK1_FOXP2_FOXB1_FOXP3	FOXP3	0.00387668418071625	0.00743040320767125	0.00512258131480293	0.161685113543823	1405	0.718011677900331	-4	0.861032801188159	7	1.98593606733367
FOXM1_TBL1XR1	FOXM1	0.0235744000724226	0.0316761510826125	0.0318217929890523	0.896182030289446	-24	0.855627812034311	-34	0.930505836712725	-25	2.76516123753657
FOXM1_TBL1XR1	TBL1XR1	0.0235744000724226	0.0316761510826125	0.0318217929890523	0.940450631118286	-4	0.218424022761488	-1460	0.144649538019996	-1614	2.76516123753657
FOXO3_FOXD2	FOXO3	0.0285987431185804	0.00819353984977312	0.00562372501109266	0.688577027378126	6	0.658784902796258	10	0.429893894732946	11	2.04908025588377
FOXO3_FOXD2	FOXD2	0.0285987431185804	0.00819353984977312	0.00562372501109266	NaN	NaN	NaN	NaN	NaN	NaN	2.04908025588377
FOXQ1	FOXQ1	0.037120418333242	0.0120654373469211	0.0211920992033413	0.160254207055172	1642	0.123849808338227	-1688	0.155019716605892	1635	2.32114462943176
GATA1_GATA4	GATA1	0.0154290601978445	0.0066405037763037	0.00959475779519087	NaN	NaN	NaN	NaN	NaN	NaN	2.5999799833254
GATA1_GATA4	GATA4	0.0154290601978445	0.0066405037763037	0.00959475779519087	0.842047778753244	79	0.664793490147597	115	0.921473591803691	98	2.5999799833254
GATA2	GATA2	0.0102643838030925	0.0142033775501074	0.0131980899313093	0.090421008959734	1557	0.403983589049786	5	0.206738635706411	-381	2.09663535233283
GATA3	GATA3	0.00278125808522501	0.00215952801630766	0.00358995619889765	0.507597962069611	9	0.312945637386503	-14	0.140565617220979	-1466	1.80879359944522
GATA6	GATA6	0.00818260954163076	0.0117088055608954	0.00671288091143095	0.957644170879108	1	0.963100494301906	0	0.258870896771272	-1319	2.19049334600882
GFI1	GFI1	0.0189853677993325	0.0218979300357171	0.00886052637054499	0.825796753330284	-108	0.821257503549678	-104	0.807953737412607	-144	1.5620268174568
GFI1B	GFI1B	0.0189410036707674	0.00992173033615701	0.0101910673207478	0.0574950642075887	-1606	0.158351430140034	4	0.265637194654366	-4	2.06024703336598
GLI2	GLI2	0.00697479257562776	0.00150489306275385	0.00152229635678894	0.142366658438241	-1552	0.204409925132436	147	0.197877404717522	149	1.43854863761324
GLI3	GLI3	0.000900190848666183	0.00260443110965273	0.00240356405816113	0.173214682658483	1705	0.212997633678168	-1513	0.197632906979855	-1206	1.16165067060139
GLIS1	GLIS1	0.0763385436590806	0.0429163403246374	0.0520641889680264	0.0653955890179106	1589	0.185055487270651	-530	0.13132309291109	-283	1.57528863577107
GLIS2	GLIS2	0.00459644270009936	0.0245100130998295	0.00258392334458008	0.23554428550787	-113	0.195151089559395	-1495	0.109639388797594	1779	1.95528200385211
GLIS3	GLIS3	0.00971238550330652	0.0246814899621156	0.0189523804552644	0.216605612093482	271	0.234746818889614	1485	0.848603843603641	-76	1.74706526573651
GMEB1	GMEB1	0.0193051841515517	0.0158863481136216	0.0218858238442444	0.213555295060742	-1524	0.155988586095948	105	0.46679558061859	5	2.79184892273996
GMEB2	GMEB2	0.0113309814595821	0.0070232726725775	0.00748922286003135	0.200705946956482	-1690	0.194754907724919	-1606	0.440299752753623	-228	2.14358184736936
GRHL1	GRHL1	0.0235493735727799	0.0288363334307043	0.0279597364891624	0.431582405106265	77	0.422407386592525	55	0.693757284778987	20	2.33796029598933
GZF1	GZF1	0.0187100787497758	0.0240642488414391	0.0135555646861455	0.491545687836928	-147	0.134294624276259	1458	0.875318854500212	0	2.00901445102685
HBP1	HBP1	0.0104944181741531	0.0151123105302053	0.00511392142499858	0.722630494417852	4	0.739043866700096	5	0.472442276867417	-152	2.30969440835094
HDX	HDX	0.0062636982904682	0.0111982586642306	0.0149852665732628	0.412190198725549	-231	0.190185480662769	-271	0.636327794727841	-199	1.80112786361546
HES1	HES1	0.00577630297138996	0.0132993078873173	0.00922034509095399	0.555711008873873	83	0.830184791573762	33	0.837766184374478	42	2.07546526417179
HESX1	HESX1	0.0278889550242088	0.00286982772882137	0.00273418515293095	0.132930759277387	-1388	0.151878652636331	1474	0.189408213865078	-1437	1.19920993439396
HIC1	HIC1	0.0036575162414278	0.0100150976233676	0.00580755956697101	0.255329229390875	76	0.159603219870255	-1472	0.175845346772059	-1571	1.57983404046257
HIF1A	HIF1A	0.0162819344632603	0.0129601367465244	0.016968507738518	0.162213811049277	-330	0.899315246863171	64	0.974362132583335	33	2.41390637037444
HINFP	HINFP	0.0287821592527185	0.0215889119950639	0.010007581158969	0.0820980802006181	217	0.84371870213643	-2	0.908894986574727	-2	1.41803334206869
HIVEP1	HIVEP1	0.00474593747076908	0.0053918185499356	0.00784676389435195	0.568272392480395	3	0.161401586268406	-834	0.465224067181123	4	1.56448645915932
HLF_TEF	HLF	0.00974237741145722	0.010511717456121	0.0118186377209329	0.208455205625154	1524	0.1099135387265	1	0.203221562491855	1	1.89330224200276
HLF_TEF	TEF	0.00974237741145722	0.010511717456121	0.0118186377209329	NaN	NaN	NaN	NaN	NaN	NaN	1.89330224200276
HMBOX1	HMBOX1	0.0407953995847437	0.0222584452792832	0.0170086274694192	0.183398979028211	-162	0.161499338583705	-1670	0.622685458068909	-137	2.90782211838992
HMGA1	HMGA1	0.00489510882117615	0.00798717053984372	0.00460312869638637	0.209706000553551	1558	0.223264681954772	1514	0.949816596703358	37	1.19648003115666
HMGA2	HMGA2	0.0266255651449538	0.0217846406068345	0.0531272388989814	0.940860157761991	0	0.890997469073244	0	0.186275185899001	1598	2.06497933561103
HMX1	HMX1	0.0170515017506735	0.0204929636866911	0.0126353263093923	0.230614835328412	-234	0.128351045286564	-199	0.233977046954647	-338	1.19442143963807
HMX2	HMX2	0.0186209678842783	0.0269409492311041	0.0158731986615172	0.0781770703912141	1569	0.110007106032472	1538	0.142402542952288	1505	2.24037313422709
HNF1A_HNF1B	HNF1A	0.0239629356449873	0.0148478742105227	0.0463003697434579	NaN	NaN	NaN	NaN	NaN	NaN	2.05748483087849
HNF1A_HNF1B	HNF1B	0.0239629356449873	0.0148478742105227	0.0463003697434579	0.150132119258606	1721	0.597878650857744	315	0.163463479272992	-1575	2.05748483087849
HNF4G	HNF4G	0.0107328869445932	0.0145001289066678	0.00699613970126083	0.151067048802359	82	0.126977440685792	-1175	0.181840351348307	-1730	2.3638154735179
HOMEZ	HOMEZ	0.00579855094668109	0.00273614662785845	0.00809063949420056	0.138869108750956	-887	0.211696499008181	-203	0.262766650644069	-1460	1.91857511214087
HOXA1	HOXA1	0.0169022806302764	0.0209148307734334	0.0104497455481873	0.188285024650743	-317	0.797657612601313	-177	0.779845723821473	-232	1.50409431384378
HOXA2_HOXB1	HOXA2	0.0220991993938143	0.0275593002032453	0.0456598411212084	0.170649744759277	312	0.422640505094204	251	0.0998180268728845	-1613	2.00480339318562
HOXA2_HOXB1	HOXB1	0.0220991993938143	0.0275593002032453	0.0456598411212084	NaN	NaN	NaN	NaN	NaN	NaN	2.00480339318562
HOXA5	HOXA5	0.13938406369191	0.0991648027318792	0.120624402962275	0.206179921546857	-1566	0.58990447140505	-6	0.204819504504276	-1546	2.25536846755113
HOXB2_UNCX_HOXD3	HOXB2	0.0118659936149869	0.00930110371276473	0.015793521029308	0.589638869681879	-317	0.528915396774727	-267	0.402821334961078	-265	1.54420413367558
HOXB2_UNCX_HOXD3	UNCX	0.0118659936149869	0.00930110371276473	0.015793521029308	NaN	NaN	NaN	NaN	NaN	NaN	1.54420413367558
HOXB2_UNCX_HOXD3	HOXD3	0.0118659936149869	0.00930110371276473	0.015793521029308	NaN	NaN	NaN	NaN	NaN	NaN	1.54420413367558
HOXB3	HOXB3	0.0202843928804251	0.0320526283251163	0.0274333726582101	0.206893345602384	-311	0.685242123532097	2	0.828933906152286	1	2.26809472764429
HOXB4_LHX9	HOXB4	0.066288438736035	0.0453666158229722	0.0274797085142904	0.142410392285412	-1516	0.116281355111567	1454	0.141294142771267	-1521	2.20408679065266
HOXB4_LHX9	LHX9	0.066288438736035	0.0453666158229722	0.0274797085142904	NaN	NaN	NaN	NaN	NaN	NaN	2.20408679065266
HOXB5	HOXB5	0.0375791947595942	0.0331593206798866	0.0365722088876641	0.191823792028587	-1502	0.18328485848147	-1532	0.195401450731555	-1568	1.86170059753125
